#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Feeder
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip,,,,,,,,,,,,,,,,,,,,,
,14,1,RT84,0,RES0402,213.5634992,14.47992806,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,14,3,RT44,0,RES0402,252.4045918,168.5706813,0,NO,,,,,,,,,,,,,,,,,,,,,comp
,14,4,RT131,0,RES0402,140.2397052,14.54574906,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,14,1,RT132,0,RES0402,140.2445595,15.92531539,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,14,3,RT26,0,RES0402,286.0653946,92.08123647,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,14,4,RT25,0,RES0402,285.7938763,15.91377205,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT67,0 Ohm,RES0603,229.2312766,134.6949221,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT65,0 Ohm,RES0603,228.9968665,56.99320626,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT58,0 Ohm,RES0603,241.3642942,364.538801,180,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT53,0 Ohm,RES0603,245.3588625,364.5347747,180,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT50,0 Ohm,RES0603,249.1063794,364.5309974,180,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT45,0 Ohm,RES0603,252.0731635,342.328867,180,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT43,0 Ohm,RES0603,253.1833873,364.5268879,180,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT39,0 Ohm,RES0603,270.6926077,214.007198,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT37,0 Ohm,RES0603,270.8256975,216.6881157,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT35,0 Ohm,RES0603,277.7472307,323.9669593,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT23,0 Ohm,RES0603,289.350601,8.609120691,180,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT22,0 Ohm,RES0603,295.7168615,361.7237462,0,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT21,0 Ohm,RES0603,301.5028309,134.6018008,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT19,0 Ohm,RES0603,301.2260061,57.05099036,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT17,0 Ohm,RES0603,301.2761959,59.57413333,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT16,0 Ohm,RES0603,301.6353903,137.1249656,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT68,0 Ohm,RES0603,229.0361592,137.7307932,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT69,0 Ohm,RES0603,228.6776673,59.87143198,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT70,0 Ohm,RES0603,229.4220029,364.5508383,180,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT72,0 Ohm,RES0603,226.6629713,364.5536192,180,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT144,0 Ohm,RES0603,130.9670722,233.274602,90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT143,0 Ohm,RES0603,130.9592427,231.0474645,90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT142,0 Ohm,RES0603,130.9516205,228.8793064,90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT124,0 Ohm,RES0603,155.9443454,135.1047123,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT122,0 Ohm,RES0603,155.6693365,57.05522407,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT120,0 Ohm,RES0603,156.036407,137.8640025,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT125,0 Ohm,RES0603,155.6796143,59.97215577,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT114,0 Ohm,RES0603,168.7241484,246.9092834,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT104,0 Ohm,RES0603,189.0922302,254.9673908,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT102,0 Ohm,RES0603,189.0541265,244.1849893,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT96,0 Ohm,RES0603,201.1079559,311.0778398,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,20,1,RT115,0 Ohm,RES0603,168.7411202,251.7206398,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,35,1,RT89,0.005,RES1206,206.9848568,24.10777515,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,35,3,RT49,0.005,RES1206,248.6768496,181.1126485,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,35,4,RT8,0.005,RES1206,321.0887932,223.568088,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,35,1,RT9,0.005,RES1206,321.135602,236.6589184,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
,35,3,RT29,0.005,RES1206,279.2093719,24.16265655,-90,NO,,,,,,,,,,,,,,,,,,,,,comp
