REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
CB125,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,50.673,13.716,90,YES
CB126,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,48.641,13.716,90,YES
CB127,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,44.323,13.716,90,YES
CB128,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,42.037,13.716,90,YES
CB129,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,39.9542,13.716,90,YES
CB130,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,37.719,13.716,90,YES
CB131,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,33.533,13.716,90,YES
CB132,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,31.496,13.716,90,YES
CB133,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,29.342,13.716,90,YES
CB134,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,27.305,13.716,90,YES
CB135,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,46.4566,13.6652,90,YES
CB136,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,35.687,13.6652,90,YES
CB2,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,81.7626,159.2072,180,YES
CB3,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,31.8008,159.2072,180,YES
CB9,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,69.8754,153.8478,0,YES
CB10,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,19.9136,153.8478,0,YES
CB11,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,87.2236,151.0792,180,YES
CB12,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,37.2618,151.0792,180,YES
CB13,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,132.588,139.8016,180,YES
CB15,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,120.904,134.7216,0,YES
CB16,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,138.3538,131.9022,180,YES
CB35,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,21.5392,124.0282,90,YES
CB36,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,71.501,124.0282,90,YES
CB43,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,31.6992,114.6556,180,YES
