REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
RT39,R_RES0603_0 OHM,0 Ohm,,RES0603,140.716,116.2346,270,NO
RT43,R_RES0603_0 OHM,0 Ohm,,RES0603,237.6678,105.1052,180,NO
RT45,R_RES0603_0 OHM,0 Ohm,,RES0603,223.3676,104.4691,180,NO
RT50,R_RES0603_0 OHM,0 Ohm,,RES0603,237.6678,102.5906,180,NO
RT53,R_RES0603_0 OHM,0 Ohm,,RES0603,237.6678,100.2792,180,NO
RT58,R_RES0603_0 OHM,0 Ohm,,RES0603,237.6678,97.8154,180,NO
RT65,R_RES0603_0 OHM,0 Ohm,,RES0603,39.5224,90.86,270,NO
RT67,R_RES0603_0 OHM,0 Ohm,,RES0603,89.5858,90.8346,270,NO
RT68,R_RES0603_0 OHM,0 Ohm,,RES0603,91.5416,90.7076,270,NO
RT69,R_RES0603_0 OHM,0 Ohm,,RES0603,41.3766,90.6568,270,NO
RT70,R_RES0603_0 OHM,0 Ohm,,RES0603,237.6678,90.4494,180,NO
RT72,R_RES0603_0 OHM,0 Ohm,,RES0603,237.6678,88.7476,180,NO
RT96,R_RES0603_0 OHM,0 Ohm,,RES0603,203.2008,73.1012,270,NO
RT102,R_RES0603_0 OHM,0 Ohm,,RES0603,160.0962,65.8114,270,NO
RT104,R_RES0603_0 OHM,0 Ohm,,RES0603,167.043,65.8114,270,NO
RT114,R_RES0603_0 OHM,0 Ohm,,RES0603,161.8363,53.2638,270,NO
RT115,R_RES0603_0 OHM,0 Ohm,,RES0603,164.9362,53.2638,270,NO
RT120,R_RES0603_0 OHM,0 Ohm,,RES0603,91.567,45.6734,270,NO
RT122,R_RES0603_0 OHM,0 Ohm,,RES0603,39.497,45.6226,270,NO
RT124,R_RES0603_0 OHM,0 Ohm,,RES0603,89.789,45.6226,270,NO
RT125,R_RES0603_0 OHM,0 Ohm,,RES0603,41.3766,45.6226,270,NO
RT142,R_RES0603_0 OHM,0 Ohm,,RES0603,150.1912,29.9992,90,NO
RT143,R_RES0603_0 OHM,0 Ohm,,RES0603,151.5882,29.9992,90,NO
RT144,R_RES0603_0 OHM,0 Ohm,,RES0603,153.0232,29.9992,90,NO
