#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
comp,8,4,RT120,0 Ohm,RES0603,195.680,80.030,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,1,RT67,0 Ohm,RES0603,193.720,125.140,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,3,RT68,0 Ohm,RES0603,195.670,125.030,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,4,RT23,0 Ohm,RES0603,112.770,162.310,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,1,RT19,0 Ohm,RES0603,143.910,169.580,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,3,RT17,0 Ohm,RES0603,145.540,169.610,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,2,RT142,0 Ohm,RES0603,254.150,64.470,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,2,RT143,0 Ohm,RES0603,255.540,64.470,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,2,RT144,0 Ohm,RES0603,256.970,64.470,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,4,RT21,0 Ohm,RES0603,193.760,169.670,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,1,RT16,0 Ohm,RES0603,195.380,169.740,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,3,RT114,0 Ohm,RES0603,265.790,87.730,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,4,RT102,0 Ohm,RES0603,264.060,100.260,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,1,RT115,0 Ohm,RES0603,268.880,87.740,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,3,RT104,0 Ohm,RES0603,270.980,100.280,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,4,RT39,0 Ohm,RES0603,244.750,150.620,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,1,RT37,0 Ohm,RES0603,246.470,150.700,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,3,RT96,0 Ohm,RES0603,307.050,107.640,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,4,RT35,0 Ohm,RES0603,315.410,154.850,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,1,RT45,0 Ohm,RES0603,327.190,139.010,180,Yes,,,,,,,,,,,,,,,,,,,,
